Last Contact Human TS,Usage
2025-02-01,10
2025-02-02,10
2025-02-03,339
2025-02-04,342
2025-02-05,245
2025-02-06,250
2025-02-07,153
2025-02-08,11
2025-02-09,9
2025-02-10,338
2025-02-11,261
2025-02-12,244
2025-02-13,250
2025-02-14,150
2025-02-15,14
2025-02-16,6
2025-02-17,167
2025-02-18,156
2025-02-19,119
2025-02-20,122
2025-02-21,146
2025-02-22,18
2025-02-23,10
2025-02-24,307
2025-02-25,287
2025-02-26,249
2025-02-27,287
2025-02-28,165
2025-03-01,14
2025-03-02,7
2025-03-03,319
2025-03-04,248
2025-03-05,209
2025-03-06,51
2025-03-07,214
2025-03-08,10
2025-03-09,12
2025-03-10,337
2025-03-11,263
2025-03-12,203
2025-03-13,254
2025-03-14,167
2025-03-15,21
2025-03-16,1
