Last Contact Human TS,Usage
2025-02-01,3
2025-02-02,9
2025-02-03,224
2025-02-04,286
2025-02-05,139
2025-02-06,214
2025-02-07,147
2025-02-08,5
2025-02-09,13
2025-02-10,226
2025-02-11,171
2025-02-12,176
2025-02-13,210
2025-02-14,96
2025-02-15,6
2025-02-16,12
2025-02-17,64
2025-02-18,55
2025-02-19,67
2025-02-20,69
2025-02-21,80
2025-02-22,5
2025-02-23,4
2025-02-24,209
2025-02-25,154
2025-02-26,201
2025-02-27,218
2025-02-28,114
2025-03-01,4
2025-03-02,10
2025-03-03,193
2025-03-04,197
2025-03-05,125
2025-03-06,36
2025-03-07,158
2025-03-08,4
2025-03-09,10
2025-03-10,200
2025-03-11,201
2025-03-12,139
2025-03-13,177
2025-03-14,132
2025-03-15,4
