Last Contact Human TS,count
2025-02-01,13
2025-02-02,257
2025-02-03,317
2025-02-04,262
2025-02-05,368
2025-02-06,236
2025-02-07,107
2025-02-08,53
2025-02-10,185
2025-02-11,359
2025-02-12,138
2025-02-13,161
2025-02-14,88
2025-02-15,35
2025-02-17,45
2025-02-18,65
2025-02-19,66
2025-02-20,62
2025-02-21,85
2025-02-22,2
2025-02-24,172
2025-02-25,208
2025-02-26,192
2025-02-27,283
2025-02-28,109
2025-03-01,31
2025-03-03,209
2025-03-04,609
2025-03-05,200
2025-03-06,163
2025-03-07,258
2025-03-08,36
2025-03-09,3
2025-03-10,165
2025-03-11,245
2025-03-12,31
